1.0.0.0/24,19338,7004,12956,13335,13335
1.1.1.0/24,19338,7004,12956,13335,13335
2.22.230.0/24,19338,7004,20940,21342
4.4.4.0/24,19338,19228,6471,27651
7.7.7.0/24,19338,19228,6471,27651
8.23.24.0/23,19338,14259,6507
9.9.9.0/24,19338,7004,61522,42,19281
11.0.0.0/24,19338,19411,13424
23.3.240.0/20,19338,7004,20940,16625
23.12.112.0/20,19338,7004,20940,16625
23.15.184.0/22,19338,7004,20940,16625
23.15.192.0/23,19338,7004,20940,16625
23.41.144.0/20,19338,19411,13424,20940,20940,16625
23.185.0.0/24,19338,19228,61522,54113
23.235.32.0/24,19338,19228,61522,54113
23.235.33.0/24,19338,19228,61522,54113
23.235.36.0/24,19338,19228,61522,54113
23.235.37.0/24,19338,19228,61522,54113
31.13.24.0/21,19338,19411,21838,3549,32934
32.59.96.0/20,19338,19228,2688
32.64.168.0/22,19338,19228,2688
32.115.8.0/24,19338,19228,2688
32.115.40.0/23,19338,19228,2688
37.235.52.0/24,19338,28099
45.4.0.0/22,19338,7004,61522,265662
45.5.120.0/24,19338,7004,61522,265672
45.5.121.0/24,19338,7004,61522,265672
45.5.122.0/24,19338,7004,61522,265672
45.5.123.0/24,19338,7004,61522,265672
45.5.124.0/24,19338,7004,61522,265672
45.5.125.0/24,19338,7004,61522,265672
45.5.126.0/24,19338,7004,61522,265672
45.5.127.0/24,19338,7004,61522,265672
45.7.92.0/24,19338,7004,22661,28098
45.7.93.0/24,19338,7004,22661,28098
45.7.94.0/24,19338,7004,22661,28098
45.7.95.0/24,19338,7004,22661,28098
45.7.228.0/22,19338,7004,52280,52368
45.57.60.0/24,19338,19228,61522,2906
45.65.160.0/24,19338,7004,22661,28098
45.65.161.0/24,19338,7004,22661,28098
45.65.162.0/24,19338,7004,22661,28098
45.65.163.0/24,19338,7004,22661,28098
45.71.44.0/22,19338,7004,61522,265830
45.224.120.0/24,19338,7004,22661,28098
45.224.121.0/24,19338,7004,22661,28098
45.224.122.0/24,19338,7004,22661,28098
45.224.123.0/24,19338,7004,22661,28098
45.225.80.0/24,19338,7004,22661,28098
45.225.81.0/24,19338,7004,22661,28098
45.225.82.0/24,19338,7004,22661,28098
45.225.83.0/24,19338,7004,22661,28098
45.225.92.0/24,19338,14259,263702,263702,263702
45.225.93.0/24,19338,14259,263702,263702,263702
45.225.94.0/24,19338,14259,263702,263702,263702
45.225.95.0/24,19338,14259,263702,263702,263702
45.225.112.0/24,19338,7004,22661,28098
45.225.113.0/24,19338,7004,22661,28098
45.225.114.0/24,19338,7004,22661,28098
45.225.115.0/24,19338,7004,22661,28098
45.225.132.0/23,19338,7004,61522,266655
45.225.184.0/22,19338,7004,61522,265851
45.225.204.0/22,19338,7004,61522,265858
45.226.168.0/22,19338,14259,64108
45.226.168.0/24,19338,14259,64108
45.226.169.0/24,19338,14259,64108
45.226.170.0/24,19338,14259,64108
45.227.62.0/23,19338,7004,61522,265871
45.227.64.0/24,19338,7004,22661,28098
45.227.65.0/24,19338,7004,22661,28098
45.227.66.0/24,19338,7004,22661,28098
45.227.67.0/24,19338,7004,22661,28098
45.227.132.0/24,19338,7004,22661,28098
45.227.133.0/24,19338,7004,22661,28098
45.227.134.0/24,19338,7004,22661,28098
45.227.135.0/24,19338,7004,22661,28098
45.227.176.0/22,19338,19411,21838,3549,61466,61466,61466,61466,61466
45.227.176.0/24,19338,19411,52280,61466
45.227.177.0/24,19338,19411,52280,61466
45.227.178.0/24,19338,19411,52280,61466
45.227.179.0/24,19338,19411,52280,61466
45.227.216.0/22,19338,19228,18747,52251
45.227.216.0/24,19338,19228,18747,52251
45.227.217.0/24,19338,19228,18747,52251
45.227.218.0/24,19338,19228,18747,52251
45.227.219.0/24,19338,19228,18747,52251
45.228.56.0/22,19338,19228,18747,52251,262196,262196,262196,262196,262196,262196,262196
45.228.58.0/24,19338,19228,18747,52251,262196,262196,262196,262196,262196,262196,262196
45.228.59.0/24,19338,19228,18747,52251,262196,262196,262196,262196,262196,262196,262196
45.228.208.0/24,19338,19411,21838,3549,263702
45.228.209.0/24,19338,19411,21838,3549,263702
45.228.210.0/24,19338,19411,21838,3549,263702
45.228.211.0/24,19338,19411,21838,3549,263702
45.230.36.0/22,19338,7004,61522,266713
45.231.48.0/24,19338,7004,22661,28098
45.231.49.0/24,19338,7004,22661,28098
45.231.50.0/24,19338,7004,22661,28098
45.231.51.0/24,19338,7004,22661,28098
45.232.32.0/22,19338,7004,7418,52341,52341,52341,52341,52341
45.232.92.0/22,19338,7004,7418,52341,52341,52341,52341,52341
45.232.120.0/22,19338,19411,18747,27735
45.232.122.0/24,19338,19411,21838,3549,27735
45.232.123.0/24,19338,19411,18747,27735
45.234.156.0/24,19338,262237
45.234.157.0/24,19338,262237
45.234.158.0/24,19338,262237
45.234.159.0/24,19338,262237
45.234.224.0/22,19338,19228,18747,266765
57.74.160.0/19,19338,6505
57.74.168.0/24,19338,6505,51964
57.97.72.0/21,19338,6505,51964
62.44.42.0/23,19338,19411,21838,3549,41707
64.68.192.0/24,19338,7004,12956,13335,13335
64.76.96.0/21,19338,19411,21838,3549
64.76.136.0/21,19338,19411,21838,3549
64.76.144.0/20,19338,19411,21838,3549
64.76.147.0/24,19338,19411,21838,3549,26048
64.76.148.0/24,19338,19411,21838,3549,26228
64.76.149.0/24,19338,19411,21838,3549,26228
64.76.152.0/24,19338,7004,16629,27911
64.76.154.0/24,19338,7004,61522,21765
64.76.155.0/24,19338,19228,6471,21765
64.76.156.0/24,19338,19228,6471,21765
64.76.160.0/20,19338,19411,21838,3549
64.76.170.0/24,19338,19411,21838,3549,52246
64.76.180.0/22,19338,19411,21838,3549
64.116.0.0/15,19338,14551
64.116.212.0/23,19338,19411,13424
64.117.128.0/19,19338,14551
64.117.132.0/22,19338,19411,19077
65.22.5.0/24,19338,7004,61522,42
65.22.19.0/24,19338,7004,61522,42
65.22.23.0/24,19338,7004,61522,42
65.22.27.0/24,19338,7004,61522,42
65.22.31.0/24,19338,7004,61522,42
65.22.35.0/24,19338,7004,61522,42
65.22.39.0/24,19338,7004,61522,42
65.22.43.0/24,19338,7004,61522,42
65.22.47.0/24,19338,7004,61522,42
65.22.51.0/24,19338,7004,61522,42
65.22.55.0/24,19338,7004,61522,42
65.22.59.0/24,19338,7004,61522,42
65.22.63.0/24,19338,7004,61522,42
65.22.67.0/24,19338,7004,61522,42
65.22.71.0/24,19338,7004,61522,42
65.22.79.0/24,19338,7004,61522,42
65.22.83.0/24,19338,7004,61522,42
65.22.87.0/24,19338,7004,61522,42
65.22.91.0/24,19338,7004,61522,42
65.22.95.0/24,19338,7004,61522,42
65.22.99.0/24,19338,7004,61522,42
65.22.103.0/24,19338,7004,61522,42
65.22.107.0/24,19338,7004,61522,42
65.22.111.0/24,19338,7004,61522,42
65.22.115.0/24,19338,7004,61522,42
65.22.119.0/24,19338,7004,61522,42
65.22.123.0/24,19338,7004,61522,42
65.22.127.0/24,19338,7004,61522,42
65.22.131.0/24,19338,7004,61522,42
65.22.135.0/24,19338,7004,61522,42
65.22.139.0/24,19338,7004,61522,42
65.22.143.0/24,19338,7004,61522,42
65.22.147.0/24,19338,7004,61522,42
65.22.151.0/24,19338,7004,61522,42
65.22.155.0/24,19338,7004,61522,42
65.22.159.0/24,19338,7004,61522,42
65.22.163.0/24,19338,7004,61522,42
65.22.171.0/24,19338,7004,61522,42
65.22.175.0/24,19338,7004,61522,42
65.22.179.0/24,19338,7004,61522,42
65.22.183.0/24,19338,7004,61522,42
65.22.187.0/24,19338,7004,61522,42
65.22.191.0/24,19338,7004,61522,42
65.22.195.0/24,19338,7004,61522,42
65.22.199.0/24,19338,7004,61522,42
65.22.203.0/24,19338,7004,61522,42
65.22.207.0/24,19338,7004,61522,42
65.22.211.0/24,19338,7004,61522,42
65.22.215.0/24,19338,7004,61522,42
65.22.219.0/24,19338,7004,61522,42
65.22.223.0/24,19338,7004,61522,42
65.22.227.0/24,19338,7004,61522,42
65.22.231.0/24,19338,7004,61522,42
65.22.235.0/24,19338,7004,61522,42
65.22.239.0/24,19338,7004,61522,42
65.22.243.0/24,19338,7004,61522,42
65.22.247.0/24,19338,7004,61522,42
65.229.142.0/24,19338,14551,6256,6256,6256,6256,6256,6256,6256,6256,6256,6256,6256
66.96.32.0/23,19338,6505
69.166.10.0/24,19338,7004,61522,3856
69.171.239.0/24,19338,19411,21838,3549,32934
69.171.255.0/24,19338,19411,21838,3549,32934
72.0.48.0/24,19338,7004,61522,42
72.0.49.0/24,19338,7004,61522,42
72.0.50.0/24,19338,7004,61522,42
72.0.51.0/24,19338,7004,61522,42
72.0.52.0/24,19338,7004,61522,42
72.0.53.0/24,19338,7004,61522,42
72.0.54.0/24,19338,7004,61522,42
72.0.55.0/24,19338,7004,61522,42
72.0.56.0/24,19338,7004,61522,42
72.0.57.0/24,19338,7004,61522,42
72.0.58.0/24,19338,7004,61522,42
72.0.59.0/24,19338,7004,61522,42
72.0.60.0/24,19338,7004,61522,42
72.0.61.0/24,19338,7004,61522,42
72.0.62.0/24,19338,7004,61522,42
72.0.63.0/24,19338,7004,61522,42
72.42.112.0/24,19338,7004,61522,42,187
72.42.113.0/24,19338,7004,61522,42,187
72.42.114.0/24,19338,7004,61522,42,187
72.42.115.0/24,19338,7004,61522,42,187
72.42.116.0/24,19338,7004,61522,42,187
72.42.117.0/24,19338,7004,61522,42,187
72.42.118.0/24,19338,7004,61522,42,187
72.42.119.0/24,19338,7004,61522,42,187
72.42.120.0/24,19338,7004,61522,42,187
72.42.121.0/24,19338,7004,61522,42,187
72.42.122.0/24,19338,7004,61522,42,187
72.42.123.0/24,19338,7004,61522,42,187
72.42.124.0/24,19338,7004,61522,42,187
72.42.125.0/24,19338,7004,61522,42,187
72.42.126.0/24,19338,7004,61522,42,187
72.42.127.0/24,19338,7004,61522,42,187
72.247.245.0/24,19338,7004,20940
74.119.76.0/22,19338,19411,21838,3549,32934
96.7.32.0/24,19338,19411,13424
96.17.16.0/20,19338,19411,13424,20940,20940,16625
103.4.96.0/22,19338,19411,21838,3549,32934
104.16.0.0/12,19338,7004,12956,13335,13335,13335
104.16.0.0/20,19338,7004,12956,13335,13335
104.16.16.0/20,19338,7004,12956,13335,13335
