1.0.0.0/16,18747,61522,7004,12956,13335,13335
1.1.0.0/16,18747,61522,7004,12956,13335,13335
2.22.0.0/16,18747,61522,7004,20940,21342
4.4.0.0/16,18747,19228,6471,27651
7.7.0.0/16,18747,19228,6471,27651
8.23.0.0/16,18747,19411,19338,14259,6507
9.9.0.0/16,18747,19411,7004,61522,42,19281
11.0.0.0/16,18747,19411,13424
23.3.0.0/16,18747,61522,7004,20940,16625
23.12.0.0/16,18747,61522,7004,20940,16625
23.15.0.0/16,18747,61522,7004,20940,16625
23.15.0.0/16,18747,61522,7004,20940,16625
23.41.0.0/16,18747,61522,21838,13424,20940,20940,16625
23.185.0.0/16,18747,61522,54113
23.235.0.0/16,18747,61522,54113
23.235.0.0/16,18747,61522,54113
23.235.0.0/16,18747,61522,54113
23.235.0.0/16,18747,61522,54113
32.59.0.0/16,18747,19411,19338,19228,2688
32.64.0.0/16,18747,19411,19338,19228,2688
32.115.0.0/16,18747,19411,19338,19228,2688
32.115.0.0/16,18747,19411,19338,19228,2688
37.235.0.0/16,18747,61522,7004,28099
45.4.0.0/16,18747,265662
45.5.0.0/16,18747,265672
45.5.0.0/16,18747,265672
45.5.0.0/16,18747,265672
45.5.0.0/16,18747,265672
45.5.0.0/16,18747,265672
45.5.0.0/16,18747,265672
45.5.0.0/16,18747,265672
45.5.0.0/16,18747,265672
45.7.0.0/16,18747,61522,7004,22661,28098
45.7.0.0/16,18747,61522,7004,22661,28098
45.7.0.0/16,18747,61522,7004,22661,28098
45.7.0.0/16,18747,61522,7004,22661,28098
45.7.0.0/16,18747,52368,52512,52512
45.57.0.0/16,18747,264806,2906
45.65.0.0/16,18747,61522,7004,22661,28098
45.65.0.0/16,18747,61522,7004,22661,28098
45.65.0.0/16,18747,61522,7004,22661,28098
45.65.0.0/16,18747,61522,7004,22661,28098
45.71.0.0/16,18747,265830,265830,265830,265830
45.224.0.0/16,18747,61522,7004,22661,28098
45.224.0.0/16,18747,61522,7004,22661,28098
45.224.0.0/16,18747,61522,7004,22661,28098
45.224.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,19411,21838,3549,263702
45.225.0.0/16,18747,19411,21838,3549,263702
45.225.0.0/16,18747,19411,21838,3549,263702
45.225.0.0/16,18747,19411,21838,3549,263702
45.225.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,61522,7004,22661,28098
45.225.0.0/16,18747,19411,7004,61522,266655
45.226.0.0/16,18747,19411,19338,14259,64108
45.226.0.0/16,18747,19411,19338,14259,64108
45.226.0.0/16,18747,19411,19338,14259,64108
45.226.0.0/16,18747,19411,19338,14259,64108
45.227.0.0/16,18747,61522,7004,22661,28098
45.227.0.0/16,18747,61522,7004,22661,28098
45.227.0.0/16,18747,61522,7004,22661,28098
45.227.0.0/16,18747,61522,7004,22661,28098
45.227.0.0/16,18747,61522,7004,22661,28098
45.227.0.0/16,18747,61522,7004,22661,28098
45.227.0.0/16,18747,61522,7004,22661,28098
45.227.0.0/16,18747,61522,7004,22661,28098
45.227.0.0/16,18747,19228,21838,3549,61466,61466,61466,61466,61466
45.227.0.0/16,18747,61522,21838,19411,52280,61466
45.227.0.0/16,18747,61522,21838,19411,52280,61466
